bq_idx,profile,hit,rank,mrr,ndcg,recall_tier2,top1_score,score_gap,lambda0
1192,q_verbose,True,1.0,1.0,0.5065267082131061,0.0,0.8397951123033569,0.05229630113964168,False
1193,q_medium,True,9.0,0.1111111111111111,0.23237542557464616,0.25,0.8244957073284841,0.05720304096657103,False
1193,q_sentence,True,1.0,1.0,0.5065267082131061,0.0,0.8299162279756567,0.15350324451220743,False
1193,q_verbose,True,1.0,1.0,0.5065267082131061,0.0,0.8055846435328233,0.08994369691462145,False
1194,q_medium,True,2.0,0.5,0.6309297535714575,0.0,0.8945799190497885,0.043205774002674335,False
1194,q_sentence,True,2.0,0.5,0.6309297535714575,0.0,0.8955090314573984,0.056979952580198945,False
1194,q_verbose,True,2.0,0.5,0.6309297535714575,0.0,0.8908223898358872,0.0370594597532069,False
1195,q_medium,True,8.0,0.125,0.14656879505245027,0.0,0.8285975663588905,0.051894169395575895,False
1195,q_sentence,False,,0.0,0.0,0.0,0.7606765789568675,0.026647656583408286,False
1195,q_verbose,False,,0.0,0.0,0.0,0.8406336965588339,0.05539468386980051,False
1196,q_medium,False,,0.0,0.0,0.0,0.8472649839995646,0.040629719441897305,False
1196,q_sentence,True,2.0,0.5,0.29313759010490054,0.0,0.8771913352648717,0.07079284170188549,False
1196,q_verbose,True,2.0,0.5,0.29313759010490054,0.0,0.8475277565534888,0.05573674080551083,False
1197,q_medium,True,1.0,1.0,0.43122038713502525,0.0,0.7821737083848772,0.04309706584464923,False
1197,q_sentence,True,1.0,1.0,0.5080222876975251,0.16666666666666666,0.78658430172343,0.027356689837853443,False
1197,q_verbose,True,8.0,0.125,0.13603488629504498,0.0,0.8064794588920753,0.04154111702201502,False
1198,q_medium,False,,0.0,0.0,0.0,0.793431761140358,0.025573846902784525,False
1198,q_sentence,False,,0.0,0.0,0.0,0.8714432036493314,0.040660103069292575,False
1198,q_verbose,True,2.0,0.5,0.27206977259008996,0.0,0.8524592171514929,0.04973828663807067,False
1199,q_medium,True,8.0,0.125,0.13603488629504498,0.0,0.8569508638609686,0.07191745897733548,False
1199,q_sentence,True,2.0,0.5,0.27206977259008996,0.0,0.781108132861162,0.04386299357081758,False
1199,q_verbose,True,1.0,1.0,0.43122038713502525,0.0,0.7901391782426225,0.06017253186720095,False
1200,q_medium,True,2.0,0.5,0.27206977259008996,0.0,0.8367610444505391,0.029052826839145673,False
1200,q_sentence,True,2.0,0.5,0.27206977259008996,0.0,0.8677005619202509,0.025488785797684765,False
1200,q_verbose,True,1.0,1.0,0.43122038713502525,0.0,0.8828016553242892,0.04350872027928121,False
1201,q_medium,True,2.0,0.5,0.27206977259008996,0.0,0.8377706139436798,0.05972003395978387,False
1201,q_sentence,True,1.0,1.0,0.43122038713502525,0.0,0.8642437489236106,0.11319558153091136,False
1201,q_verbose,True,1.0,1.0,0.43122038713502525,0.0,0.8841691675037823,0.09482340901781294,False
1202,q_medium,True,1.0,1.0,0.7386919056633241,0.3333333333333333,0.8589114969682368,0.07295592300817977,False
1202,q_sentence,True,1.0,1.0,0.5615443777322888,0.0,0.926220810860364,0.13075845950000742,False
1202,q_verbose,True,2.0,0.5,0.35429505586207044,0.0,0.8402386994621442,0.04893095132327918,False
1203,q_medium,True,1.0,1.0,0.6615574493464605,0.3333333333333333,0.8654927549478638,0.0941704622085554,False
1203,q_sentence,True,1.0,1.0,0.6701618871885437,0.3333333333333333,0.8555218705865156,0.06543890166547917,False
1203,q_verbose,True,1.0,1.0,0.5615443777322888,0.0,0.7938533840186159,0.05914587105149027,False
1204,q_medium,True,2.0,0.5,0.35429505586207044,0.0,0.8656802560294585,0.05743157496591311,False
1204,q_sentence,False,,0.0,0.0,0.0,0.887221017045783,0.040992063037738946,False
1204,q_verbose,True,3.0,0.3333333333333333,0.2807721888661444,0.0,0.8128484297201845,0.029927268796428153,False
1205,q_medium,True,1.0,1.0,0.4384685740392189,0.1111111111111111,0.8195494653475319,0.07468071087620554,False
1205,q_sentence,True,1.0,1.0,0.4509737963519493,0.1111111111111111,0.8446722360239571,0.07430871487728663,False
1205,q_verbose,True,1.0,1.0,0.43056322872474745,0.1111111111111111,0.8816299888423953,0.11837422003694764,False
1206,q_medium,False,,0.0,0.0,0.0,0.8724042317090106,0.029360630194630977,False
1206,q_sentence,True,4.0,0.25,0.3357685924560988,0.1111111111111111,0.8690770386367501,0.035367886592660436,False
1206,q_verbose,True,2.0,0.5,0.5265480697120769,0.3333333333333333,0.861799204591598,0.05653909660345213,False
1207,q_medium,True,3.0,0.3333333333333333,0.5802468393697646,0.4444444444444444,0.8130142371441758,0.0574748736645837,False
1207,q_sentence,True,3.0,0.3333333333333333,0.5931508505287076,0.4444444444444444,0.8922603377057619,0.07021834297184437,False
1207,q_verbose,True,8.0,0.125,0.3178209882300059,0.2222222222222222,0.8466404318112499,0.05214894630846789,False
1208,q_medium,True,1.0,1.0,0.6694079504822701,0.4444444444444444,0.8862613988678052,0.08170468092903493,False
1208,q_sentence,True,1.0,1.0,0.7288118358623596,0.5555555555555556,0.88718641181336,0.05587550531704,False
1208,q_verbose,True,1.0,1.0,0.5267364164079253,0.2222222222222222,0.828801626332401,0.041128292030144786,False
1209,q_medium,False,,0.0,0.0,0.0,0.8266050984859512,0.0436231971377552,False
1209,q_sentence,False,,0.0,0.04874813056849309,0.1111111111111111,0.8719027939961234,0.035591259236406936,False
1209,q_verbose,False,,0.0,0.31498561273834325,0.3333333333333333,0.8175973506505807,0.03573929769753592,False
1210,q_medium,True,1.0,1.0,0.5615443777322888,0.0,0.8479797511731041,0.10819632724238337,False
1210,q_sentence,True,1.0,1.0,0.5615443777322888,0.0,0.8514603363739867,0.08702283278692102,False
1210,q_verbose,True,1.0,1.0,0.5615443777322888,0.0,0.8335836073827572,0.09624382856445257,False
1211,q_medium,True,1.0,1.0,0.5615443777322888,0.0,0.8883664746041664,0.11864409204701842,False
1211,q_sentence,True,1.0,1.0,0.5615443777322888,0.0,0.8657933979575096,0.08293348048201254,False
1211,q_verbose,True,1.0,1.0,0.5615443777322888,0.0,0.8742054596564044,0.06720136209368399,False
1212,q_medium,True,1.0,1.0,0.8790780000963964,0.6666666666666666,0.8673931068912539,0.14009740461245102,False
1212,q_sentence,True,1.0,1.0,0.8019435437795327,0.6666666666666666,0.8542645417048949,0.09258688861386122,False
1212,q_verbose,True,1.0,1.0,0.847309415119579,0.6666666666666666,0.9012963348654395,0.11657384635501611,False
1213,q_medium,True,1.0,1.0,0.7910838870921474,0.6666666666666666,0.8315833838966733,0.10920431241225037,False
1213,q_sentence,True,6.0,0.16666666666666666,0.4857911806156334,0.6666666666666666,0.8932060326168236,0.11254413910497485,False
1213,q_verbose,False,,0.0,0.12092199990360372,0.3333333333333333,0.7898738983369211,0.029717114607544226,False
1214,q_medium,True,3.0,0.3333333333333333,0.48940276993657095,0.6666666666666666,0.8548303499605645,0.11887078276472951,False
1214,q_sentence,True,1.0,1.0,0.7910838870921474,0.6666666666666666,0.8979356120152264,0.10691680247901003,False
1214,q_verbose,True,1.0,1.0,0.5615443777322888,0.0,0.8216418980937832,0.05087132992841448,False
1215,q_medium,True,1.0,1.0,1.0,0.0,0.8392878184741663,0.10636285538843482,False
1215,q_sentence,True,1.0,1.0,1.0,0.0,0.841072700118584,0.06503925697929203,False
1215,q_verbose,True,1.0,1.0,1.0,0.0,0.8692008748062873,0.08992840107433808,False
1216,q_medium,True,1.0,1.0,0.32825951151166505,0.0,0.8168795344810196,0.09217008259759729,False
1216,q_sentence,True,1.0,1.0,0.32825951151166505,0.0,0.8421840108158926,0.07482772280977046,False
1216,q_verbose,True,1.0,1.0,0.431813857864436,0.07692307692307693,0.8278983700762601,0.02468286605824943,False
1217,q_medium,True,4.0,0.25,0.18715651411222964,0.07692307692307693,0.8337833964765553,0.04005757125527443,False
1217,q_sentence,True,7.0,0.14285714285714285,0.109419837170555,0.0,0.819999087857028,0.04054532784273912,False
1217,q_verbose,True,8.0,0.125,0.2514628149876048,0.15384615384615385,0.7875629262006913,0.035135370694608925,False
1218,q_medium,True,1.0,1.0,0.4502177668950404,0.15384615384615385,0.7928472191933326,0.07950918366922832,False
1218,q_sentence,True,12.0,0.08333333333333333,0.1593950828504745,0.07692307692307693,0.8397554716328887,0.028743527276489433,False
1218,q_verbose,True,2.0,0.5,0.26181861129081935,0.07692307692307693,0.8375370753360435,0.026928776780839492,False
1219,q_medium,True,1.0,1.0,0.3776674911751736,0.07692307692307693,0.8616245054285004,0.10477942350814562,False
1219,q_sentence,True,2.0,0.5,0.3063300052230844,0.15384615384615385,0.8234583156312982,0.06896339944192664,False
1219,q_verbose,False,,0.0,0.13147285754142482,0.15384615384615385,0.8664519429056584,0.03730627861811597,False
1220,q_medium,True,1.0,1.0,0.423450328714706,0.15384615384615385,0.8593340466294901,0.04943333552751672,False
1220,q_sentence,True,3.0,0.3333333333333333,0.21157389509698962,0.07692307692307693,0.8807040258898535,0.06799437033207889,False
1220,q_verbose,True,3.0,0.3333333333333333,0.215906928932218,0.07692307692307693,0.8776539446067251,0.06935904860821362,False
1221,q_medium,False,,0.0,0.0,0.0,0.7893538190861197,0.03455076657457201,False
1221,q_sentence,False,,0.0,0.0,0.0,0.8282280136036648,0.026321518578834135,False
1221,q_verbose,True,8.0,0.125,0.20151514190050246,0.0,0.8604083074945998,0.042695836553979793,False
1222,q_medium,True,7.0,0.14285714285714285,0.25339584447728947,0.0,0.7274872408275919,0.07369314260016502,False
1222,q_sentence,True,2.0,0.5,0.4796249331362629,0.0,0.891517132750371,0.07974702518462806,False
1222,q_verbose,True,2.0,0.5,0.4796249331362629,0.0,0.8747388538777059,0.07570273905685632,False
1223,q_medium,False,,0.0,0.04578283753953241,0.043478260869565216,0.825453750314002,0.0365449877340851,False
1223,q_sentence,True,11.0,0.09090909090909091,0.36160376879456624,0.13043478260869565,0.8797714412304911,0.08212578290316286,False
1223,q_verbose,True,5.0,0.2,0.3296065007498383,0.13043478260869565,0.8733170002482356,0.05638690836219795,False
1224,q_medium,True,6.0,0.16666666666666666,0.22341548899868663,0.08695652173913043,0.8413295493579592,0.04278974557350268,False
1224,q_sentence,True,6.0,0.16666666666666666,0.11692839723702363,0.0,0.8696996327409978,0.059811696026852657,False
1224,q_verbose,True,7.0,0.14285714285714285,0.109419837170555,0.0,0.8234722976390306,0.04291784015778666,False
1225,q_medium,True,2.0,0.5,0.3598604088698067,0.08695652173913043,0.8296645860075498,0.07025181733564267,False
1225,q_sentence,True,1.0,1.0,0.4502177668950404,0.08695652173913043,0.8231487737864307,0.0767605921883997,False
1225,q_verbose,False,,0.0,0.308254644404363,0.21739130434782608,0.8233981842491929,0.03491409159668457,False
1226,q_medium,True,1.0,1.0,0.5976915133538255,0.17391304347826086,0.8236044307112519,0.05699109398884328,False
1226,q_sentence,True,2.0,0.5,0.4282882606064597,0.17391304347826086,0.8444048889857875,0.0648798944288439,False
1226,q_verbose,True,8.0,0.125,0.10355434635277093,0.0,0.7646914160152306,0.01849552229411544,False
1227,q_medium,True,1.0,1.0,0.5986319916092331,0.17391304347826086,0.8729995565308502,0.10448328406005492,False
1227,q_sentence,True,1.0,1.0,0.6143714918671622,0.17391304347826086,0.8561359114483799,0.05759139529997126,False
1227,q_verbose,True,2.0,0.5,0.5479066224300272,0.17391304347826086,0.8909680651957568,0.08362350647389527,False
1228,q_medium,True,1.0,1.0,0.6387878864795979,0.0,0.8340479552064826,0.08986183604882048,False
1228,q_sentence,True,1.0,1.0,0.6387878864795979,0.0,0.8666871640665698,0.08500052888563259,False
1228,q_verbose,True,3.0,0.3333333333333333,0.31939394323979897,0.0,0.8309198154286951,0.0953054813122518,False
